"Date Time, GMT-07:00",y
2023-06-15 15:00:10,2201
2023-06-15 16:00:10,2201
2023-06-15 17:00:10,2193
2023-06-15 18:00:10,-1
2023-06-15 19:00:11,-1
2023-06-15 20:00:11,-1
2023-06-15 21:00:11,-1
2023-06-15 22:00:11,-1
2023-06-15 23:00:11,-1
2023-06-16 00:00:11,-1
2023-06-16 05:00:11,-1
2023-06-16 07:00:11,2091
2023-06-16 08:00:11,2080
2023-06-16 09:00:11,2072
2023-06-16 10:00:11,2063
2023-06-16 11:00:10,2051
2023-06-16 12:00:10,2034
2023-06-16 13:00:10,2028
2023-06-16 14:00:10,2012
2023-06-16 15:00:10,2000
2023-06-16 16:00:10,1983
2023-06-16 17:00:11,1966
2023-06-16 18:00:11,1940
2023-06-16 19:00:11,1926
2023-06-16 20:00:11,1901
2023-06-16 21:00:11,1884
2023-06-16 22:00:10,1858
2023-06-16 23:00:10,1830
2023-06-17 00:00:10,1802
2023-06-17 04:00:11,1692
2023-06-17 05:00:11,1654
2023-06-17 06:00:11,1617
2023-06-17 07:00:11,-1
