x,y
0,-1
1,-1
2,-1
3,-1
4,2159
5,2159
6,2159
7,2159
8,2159
9,2159
10,2159
11,2159
12,2159
13,2159
14,2159
15,2159
16,2159
17,2159
18,2159
19,2159
20,2159
21,2159
22,2159
23,2159
24,2159
25,2159
26,2160
27,2160
28,2160
29,2160
30,2160
31,2160
32,2160
33,2160
34,2160
35,2160
36,2160
37,2160
38,2160
39,2160
40,2160
41,2160
42,2160
43,2160
44,2160
45,2160
46,2160
47,2160
48,2160
49,2160
50,2160
51,2160
52,2160
53,2160
54,2160
55,2160
56,2160
57,2160
58,2160
59,2160
60,2160
61,2160
62,2160
63,2160
64,2160
65,2160
66,2160
67,2160
68,2160
69,2160
70,2161
71,2161
72,2161
73,2161
74,2161
75,2161
76,2161
77,2161
78,2161
79,2161
80,2161
81,2161
82,2161
83,2161
84,2161
85,2161
86,2161
87,2161
88,2161
89,2161
90,2161
91,2161
92,2161
93,2161
94,2161
95,2161
96,2161
97,2161
98,2161
99,2161
100,2161
101,2161
102,2161
103,2161
104,2161
105,2161
106,2161
107,2161
108,2161
109,2161
110,2161
111,2161
112,2161
113,2161
114,2162
115,2162
116,2162
117,2162
118,2162
119,2162
120,2162
121,2162
122,2162
123,2162
124,2162
125,2162
126,2162
127,2162
128,2162
129,2162
130,2162
131,2162
132,2162
133,2162
134,2162
135,2162
136,2162
137,2162
138,2162
139,2162
140,2162
141,2162
142,2162
143,2162
144,2162
145,2162
146,2162
147,2162
148,2162
149,2162
150,2162
151,2162
152,2162
153,2162
154,2162
155,2162
156,2162
157,2162
158,2163
159,2163
160,2163
161,2163
162,2163
163,2163
164,2163
165,2163
166,2163
167,2163
168,2163
169,2163
170,2163
171,2163
172,2163
173,2163
174,2163
175,2163
176,2163
177,2163
178,2163
179,2163
180,2163
181,2163
182,2163
183,2163
184,2163
185,2163
186,2163
187,2163
188,2163
189,2163
190,2163
191,2163
192,2163
193,2163
194,2163
195,2163
196,2163
197,2163
198,2163
199,2163
200,2163
201,2163
202,2164
203,2164
204,2164
205,2164
206,2164
207,2164
208,2164
209,2164
210,2164
211,2164
212,2164
213,2164
214,2164
215,2164
216,2164
217,2164
218,2164
219,2164
220,2164
221,2164
222,2164
223,2164
224,2164
225,2164
226,2164
227,2164
228,2164
229,2164
230,2164
231,2164
232,2164
233,2164
234,2164
235,2164
236,2164
237,2164
238,2164
239,2164
240,2164
241,2164
242,2164
243,2164
244,2164
245,2164
246,2165
247,2165
248,2165
249,2165
250,2165
251,2165
252,2165
253,2165
254,2165
255,2165
256,2165
257,2165
258,2165
259,2165
260,2165
261,2165
262,2165
263,2165
264,2165
265,2165
266,2165
267,2165
268,2165
269,2165
270,2165
271,2165
272,2165
273,2165
274,2165
275,2165
276,2165
277,2165
278,2165
279,2165
280,2165
281,2165
282,2165
283,2165
284,2165
285,2165
286,2165
287,2165
288,2165
289,2166
290,2166
291,2166
292,2166
293,2166
294,2166
295,2166
296,2166
297,2166
298,2166
299,2166
300,2166
301,2166
302,2166
303,2166
304,2166
305,2166
306,2166
307,2166
308,2166
309,2166
310,2166
311,2166
312,2166
313,2166
314,2166
315,2166
316,2166
317,2166
318,2166
319,2166
320,2166
321,2166
322,2166
323,2166
324,2166
325,2166
326,2166
327,2166
328,2166
329,2166
330,2166
331,2166
332,2166
333,2167
334,2167
335,2167
336,2167
337,2167
338,2167
339,2167
340,2167
341,2167
342,2167
343,2167
344,2167
345,2167
346,2167
347,2167
348,2167
349,2167
350,2167
351,2167
352,2167
353,2167
354,2167
355,2167
356,2167
357,2167
358,2167
359,2167
360,2167
361,2167
362,2167
363,2167
364,2167
365,2167
366,2167
367,2167
368,2167
369,2167
370,2167
371,2167
372,2167
373,2167
374,2167
375,2167
376,2167
377,2168
378,2168
379,2168
380,2168
381,2168
382,2168
383,2168
384,2168
385,2168
386,2168
387,2168
388,2168
389,2168
390,2168
391,2168
392,2168
393,2168
394,2168
395,2168
396,2168
397,2168
398,2168
399,2168
400,2168
401,2168
402,2168
403,2168
404,2168
405,2168
406,2168
407,2168
408,2168
409,2168
410,2168
411,2168
412,2168
413,2168
414,2168
415,2168
416,2168
417,2168
418,2168
419,2168
420,2168
421,2169
422,2169
423,2169
424,2169
425,2169
426,2169
427,2169
428,2169
429,2169
430,2169
431,2169
432,2169
433,2169
434,2169
435,2169
436,2169
437,2169
438,2169
439,2169
440,2169
441,2169
442,2169
443,2169
444,2169
445,2169
446,2169
447,2169
448,2169
449,2169
450,2169
451,2169
452,2169
453,2169
454,2169
455,2169
456,2169
457,2169
458,2169
459,2169
460,2169
461,2169
462,2169
463,2169
464,2169
465,2170
466,2170
467,2170
468,2170
469,2170
470,2170
471,2170
472,2170
473,2170
474,2170
475,2170
476,2170
477,2170
478,2170
479,2170
480,2170
481,2170
482,2170
483,2170
484,2170
485,2170
486,2170
487,2170
488,2170
489,2170
490,2170
491,2170
492,2170
493,2170
494,2170
495,2170
496,2170
497,2170
498,2170
499,2170
500,2170
501,2170
502,2170
503,2170
504,2170
505,2170
506,2170
507,2170
508,2170
509,2171
510,2171
511,2171
512,2171
513,2171
514,2171
515,2171
516,2171
517,2171
518,2171
519,2171
520,2171
521,2171
522,2171
523,2171
524,2171
525,2171
526,2171
527,2171
528,2171
529,2171
530,2171
531,2171
532,2171
533,2170
534,2170
535,2170
536,2170
537,2170
538,2169
539,2169
540,2169
541,2169
542,2169
543,2168
544,2168
545,2168
546,2168
547,2167
548,2167
549,2167
550,2167
551,2167
552,2166
553,2166
554,2166
555,2166
556,2166
557,2165
558,2165
559,2165
560,2165
561,2165
562,2164
563,2164
564,2164
565,2164
566,2164
567,2163
568,2163
569,2163
570,2163
571,2163
572,2162
573,2162
574,2162
575,2162
576,2161
577,2161
578,2161
579,2161
580,2161
581,2160
582,2160
583,2160
584,2160
585,2160
586,2159
587,2159
588,2159
589,2159
590,2159
591,2159
592,2159
593,2159
594,2159
595,2159
596,2159
597,2159
598,2159
599,2159
600,2159
601,2160
602,2160
603,2160
604,2160
605,2160
606,2160
607,2160
608,2160
609,2160
610,2160
611,2160
612,2160
613,2160
614,2160
615,2160
616,2160
617,2160
618,2160
619,2160
620,2160
621,2160
622,2160
623,2160
624,2160
625,2161
626,2161
627,2161
628,2161
629,2161
630,2161
631,2161
632,2161
633,2161
634,2161
635,2161
636,2161
637,2161
638,2161
639,2161
640,2161
641,2161
642,2161
643,2161
644,2161
645,2161
646,2161
647,2161
648,2161
649,2161
