x,y
0,2180
1,2180
2,2180
3,2180
4,2180
5,2180
6,2180
7,2180
8,2180
9,2180
10,2180
11,2180
12,2180
13,2180
14,2180
15,2180
16,2180
17,2180
18,2180
19,2181
20,2181
21,2181
22,2181
23,2181
24,2181
25,2181
26,2181
27,2181
28,2181
29,2181
30,2181
31,2181
32,2181
33,2181
34,2181
35,2181
36,2181
37,2181
38,2181
39,2181
40,2181
41,2181
42,2181
43,2181
44,2181
45,2181
46,2181
47,2181
48,2181
49,2181
50,2181
51,2181
52,2181
53,2181
54,2181
55,2182
56,2182
57,2182
58,2182
59,2182
60,2182
61,2182
62,2182
63,2182
64,2182
65,2182
66,2182
67,2182
68,2182
69,2182
70,2182
71,2182
72,2182
73,2182
74,2182
75,2182
76,2182
77,2182
78,2182
79,2182
80,2182
81,2182
82,2182
83,2182
84,2182
85,2182
86,2182
87,2182
88,2182
89,2182
90,2182
91,2182
92,2183
93,2183
94,2183
95,2183
96,2183
97,2183
98,2183
99,2183
100,2183
101,2183
102,2183
103,2183
104,2183
105,2183
106,2183
107,2183
108,2183
109,2183
110,2183
111,2183
112,2183
113,2183
114,2183
115,2183
116,2183
117,2183
118,2183
119,2183
120,2183
121,2183
122,2183
123,2183
124,2183
125,2183
126,2183
127,2183
128,2184
129,2184
130,2184
131,2184
132,2184
133,2184
134,2184
135,2184
136,2184
137,2184
138,2184
139,2184
140,2184
141,2184
142,2184
143,2184
144,2184
145,2184
146,2184
147,2184
148,2184
149,2184
150,2184
151,2184
152,2184
153,2184
154,2184
155,2184
156,2184
157,2184
158,2184
159,2184
160,2184
161,2184
162,2184
163,2184
164,2184
165,2185
166,2185
167,2185
168,2185
169,2185
170,2185
171,2185
172,2185
173,2185
174,2185
175,2185
176,2185
177,2185
178,2185
179,2185
180,2185
181,2185
182,2185
183,2185
184,2185
185,2185
186,2185
187,2185
188,2185
189,2185
190,2185
191,2185
192,2185
193,2185
194,2185
195,2185
196,2185
197,2185
198,2185
199,2185
200,2185
201,2186
202,2186
203,2186
204,2186
205,2186
206,2186
207,2186
208,2186
209,2186
210,2186
211,2186
212,2186
213,2186
214,2186
215,2186
216,2186
217,2186
218,2186
219,2186
220,2186
221,2186
222,2186
223,2186
224,2186
225,2186
226,2186
227,2186
228,2186
229,2186
230,2186
231,2186
232,2186
233,2186
234,2186
235,2186
236,2186
237,2186
238,2187
239,2187
240,2187
241,2187
242,2187
243,2187
244,2187
245,2187
246,2187
247,2187
248,2187
249,2187
250,2187
251,2187
252,2187
253,2187
254,2187
255,2187
256,2187
257,2187
258,2187
259,2187
260,2187
261,2187
262,2187
263,2187
264,2187
265,2187
266,2187
267,2187
268,2187
269,2187
270,2187
271,2187
272,2187
273,2187
274,2188
275,2188
276,2188
277,2188
278,2188
279,2188
280,2188
281,2188
282,2188
283,2188
284,2188
285,2188
286,2188
287,2188
288,2188
289,2188
290,2188
291,2188
292,2188
293,2188
294,2188
295,2188
296,2188
297,2188
298,2188
299,2188
300,2188
301,2188
302,2188
303,2188
304,2188
305,2188
306,2188
307,2188
308,2188
309,2188
310,2188
311,2188
312,2188
313,2188
314,2188
315,2188
316,2188
317,2188
318,2188
319,2188
320,2188
321,2188
322,2188
323,2188
324,2188
325,2188
326,2188
327,2188
328,2188
329,2188
330,2188
331,2188
332,2188
333,2188
334,2188
335,2188
336,2188
337,2188
338,2188
339,2188
340,2188
341,2188
342,2188
343,2188
344,2188
345,2188
346,2188
347,2188
348,2188
349,2188
350,2188
351,2188
352,2188
353,2188
354,2188
355,2188
356,2188
357,2188
358,2188
359,2188
360,2188
361,2188
362,2188
363,2188
364,2188
365,2188
366,2188
367,2188
368,2188
369,2188
370,2188
371,2188
372,2188
373,2188
374,2188
375,2188
376,2188
377,2188
378,2188
379,2188
380,2188
381,2188
382,2188
383,2188
384,2188
385,2188
386,2188
387,2188
388,2188
389,2188
390,2188
391,2188
392,2188
393,2188
394,2188
395,2188
396,2188
397,2188
398,2188
399,2188
400,2188
401,2188
402,2188
403,2188
404,2188
405,2188
406,2188
407,2188
408,2188
409,2188
410,2188
411,2188
412,2188
413,2188
414,2188
415,2188
416,2188
417,2188
418,2188
419,2188
420,2188
421,2188
422,2188
423,2188
424,2188
425,2188
426,2188
427,2188
428,2188
429,2188
430,2188
431,2188
432,2188
433,2188
434,2188
435,2188
436,2188
437,2188
438,2188
439,2188
440,2188
441,2188
