Profiles,R Correlation
0-249,0.9936606598510345
250-499,0.9961844384515707
500-749,0.9929798898723194
750-999,0.9929196428338358
1000-1249,0.9930356267895329
1250-1499,0.9934892813987856
1500-1749,0.9952050376051153
1750-1999,0.9941128062173276
2000-2249,0.9942751599123784
2250-2499,0.995822705014478
2500-2749,0.9958490018043686
2750-2999,0.995811664610364
3000-3249,0.9927935729881567
3250-3499,0.9941101461547799
3500-3749,0.9932593800015956
3750-3999,0.9944536764833923
4000-4249,0.9951897756024668
4250-4499,0.9944612038041833
4500-4749,0.9942753061892431
4750-4999,0.993828768171123
5000-5249,0.9930549527567132
5250-5499,0.9942291853831943
5500-5749,0.9951699836795549
5750-5999,0.9956615946166104
6000-6249,0.9953630292617379
6250-6499,0.9952956371737937
6500-6749,0.9928965623691304
6750-6999,0.988710278072125
7000-7249,0.9852780406346925
7250-7391,0.9763097999332013
