"Date Time, GMT-07:00","Abs Pres, kPa (LGR S/N: 20095431, SEN S/N: 20095431)","Temp, °C (LGR S/N: 20095431, SEN S/N: 20095431)"
05/30/23 10:00:00  AM,91.157,21.187
05/30/23 10:30:00  AM,91.117,19.282
05/30/23 11:00:00  AM,91.163,14.23
05/30/23 11:30:00  AM,91.061,12.11
05/30/23 12:00:00  PM,91.002,12.11
05/30/23 12:30:00  PM,90.994,13.173
05/30/23 01:00:00  PM,90.993,13.269
05/30/23 01:30:00  PM,90.995,13.076
05/30/23 02:00:00  PM,90.973,15.664
05/30/23 02:30:00  PM,90.947,18.521
05/30/23 03:00:00  PM,90.903,16.903
05/30/23 03:30:00  PM,90.913,15.76
05/30/23 04:00:00  PM,90.918,15.187
05/30/23 04:30:00  PM,90.975,15.473
05/30/23 05:00:00  PM,90.97,16.046
05/30/23 05:30:00  PM,90.908,16.332
05/30/23 06:00:00  PM,90.906,16.618
05/30/23 06:30:00  PM,90.9,17.189
05/30/23 07:00:00  PM,90.894,17.855
05/30/23 07:30:00  PM,90.946,18.616
05/30/23 08:00:00  PM,90.877,19.567
05/30/23 08:30:00  PM,90.869,20.329
05/30/23 09:00:00  PM,90.923,20.901
05/30/23 09:30:00  PM,90.92,21.187
05/30/23 10:00:00  PM,90.98,21.091
05/30/23 10:30:00  PM,91.043,20.71
05/30/23 11:00:00  PM,90.992,19.948
05/30/23 11:30:00  PM,91.062,18.901
05/31/23 12:00:00  AM,91.133,17.665
05/31/23 12:30:00  AM,91.144,16.523
05/31/23 01:00:00  AM,91.095,15.282
05/31/23 01:30:00  AM,91.165,14.038
05/31/23 02:00:00  AM,91.233,12.883
05/31/23 02:30:00  AM,91.123,11.722
05/31/23 03:00:00  AM,91.132,10.553
05/31/23 03:30:00  AM,91.198,9.472
05/31/23 04:00:00  AM,91.204,8.481
05/31/23 04:30:00  AM,91.21,7.582
05/31/23 05:00:00  AM,91.156,6.573
05/31/23 05:30:00  AM,91.101,5.757
05/31/23 06:00:00  AM,91.224,4.934
05/31/23 06:30:00  AM,91.168,4.207
05/31/23 07:00:00  AM,91.171,3.578
05/31/23 07:30:00  AM,91.113,3.155
05/31/23 08:00:00  AM,91.173,3.049
05/31/23 08:30:00  AM,91.231,3.367
05/31/23 09:00:00  AM,89.275,4.207
