"Date Time, GMT-07:00",Lake+Air pressure (kpa),Lake Temp (°C),Air pressure (kpa),Air Temp (°C),Lake pressure (kpa),Lake depth (m)
2023-05-30 10:00:00,91.157,21.187,91.467,23.773,-0.310,-0.032
2023-05-30 10:30:00,91.117,19.282,91.944,21.091,-0.827,-0.084
2023-05-30 11:00:00,91.163,14.23,92.449,17.379,-1.286,-0.131
2023-05-30 11:30:00,91.061,12.11,92.857,14.804,-1.796,-0.183
2023-05-30 12:00:00,91.002,12.11,92.856,13.846,-1.854,-0.189
2023-05-30 12:30:00,90.994,13.173,91.804,15.187,-0.810,-0.083
2023-05-30 13:00:00,90.993,13.269,92.113,14.517,-1.120,-0.114
2023-05-30 13:30:00,90.995,13.076,92.549,13.654,-1.554,-0.159
2023-05-30 14:00:00,90.973,15.664,92.415,13.654,-1.442,-0.147
2023-05-30 14:30:00,90.947,18.521,91.71,14.421,-0.763,-0.078
2023-05-30 15:00:00,90.903,16.903,91.058,15.76,-0.155,-0.016
2023-05-30 15:30:00,90.913,15.76,91.221,15.664,-0.308,-0.031
2023-05-30 16:00:00,90.918,15.187,91.344,15.378,-0.426,-0.043
2023-05-30 16:30:00,90.975,15.473,91.214,15.473,-0.239,-0.024
2023-05-30 17:00:00,90.97,16.046,90.961,15.855,0.009,0.001
2023-05-30 17:30:00,90.908,16.332,90.871,16.141,0.037,0.004
2023-05-30 18:00:00,90.906,16.618,90.781,16.427,0.125,0.013
2023-05-30 18:30:00,90.9,17.189,90.661,16.808,0.239,0.024
2023-05-30 19:00:00,90.894,17.855,90.585,17.475,0.309,0.032
2023-05-30 19:30:00,90.946,18.616,90.441,18.14,0.505,0.052
2023-05-30 20:00:00,90.877,19.567,90.404,18.996,0.473,0.048
2023-05-30 20:30:00,90.869,20.329,90.397,19.758,0.472,0.048
2023-05-30 21:00:00,90.923,20.901,90.386,20.424,0.537,0.055
2023-05-30 21:30:00,90.92,21.187,90.432,20.805,0.488,0.050
2023-05-30 22:00:00,90.98,21.091,90.472,20.996,0.508,0.052
2023-05-30 22:30:00,91.043,20.71,90.599,20.805,0.444,0.045
2023-05-30 23:00:00,90.992,19.948,90.85,20.329,0.142,0.014
2023-05-30 23:30:00,91.062,18.901,91.028,19.662,0.034,0.003
2023-05-31 00:00:00,91.133,17.665,91.328,18.711,-0.195,-0.020
2023-05-31 00:30:00,91.144,16.523,91.626,17.665,-0.482,-0.049
2023-05-31 01:00:00,91.095,15.282,91.989,16.618,-0.894,-0.091
2023-05-31 01:30:00,91.165,14.038,92.381,15.473,-1.216,-0.124
2023-05-31 02:00:00,91.233,12.883,92.773,14.325,-1.540,-0.157
2023-05-31 02:30:00,91.123,11.722,93.197,13.173,-2.074,-0.212
2023-05-31 03:00:00,91.132,10.553,93.458,12.11,-2.326,-0.237
2023-05-31 03:30:00,91.198,9.472,93.78,10.944,-2.582,-0.263
2023-05-31 04:00:00,91.204,8.481,94.01,9.965,-2.806,-0.286
2023-05-31 04:30:00,91.21,7.582,94.238,8.978,-3.028,-0.309
2023-05-31 05:00:00,91.156,6.573,94.432,7.983,-3.276,-0.334
2023-05-31 05:30:00,91.101,5.757,94.663,7.079,-3.562,-0.363
2023-05-31 06:00:00,91.224,4.934,94.827,6.166,-3.603,-0.368
2023-05-31 06:30:00,91.168,4.207,95.027,5.347,-3.859,-0.394
2023-05-31 07:00:00,91.171,3.578,95.168,4.727,-3.997,-0.408
2023-05-31 07:30:00,91.113,3.155,95.276,4.102,-4.163,-0.425
2023-05-31 08:00:00,91.173,3.049,95.263,3.788,-4.090,-0.417
2023-05-31 08:30:00,91.231,3.367,95.097,3.788,-3.866,-0.394
2023-05-31 09:00:00,89.275,4.207,93.285,4.207,-4.010,-0.409
2023-05-31 09:30:00,84.191,3.472,88.915,3.893,-4.724,-0.482
2023-05-31 10:00:00,84.253,2.943,89.102,3.578,-4.849,-0.495
2023-05-31 10:30:00,84.252,3.049,88.744,3.788,-4.492,-0.458
2023-05-31 11:00:00,84.192,3.155,88.245,3.788,-4.053,-0.414
2023-05-31 11:30:00,84.251,3.367,87.829,4.207,-3.578,-0.365
2023-05-31 12:00:00,84.249,3.683,87.571,4.415,-3.322,-0.339
2023-05-31 12:30:00,88.131,7.682,88.092,9.373,0.039,0.004
2023-05-31 13:00:00,88.978,13.365,90.216,10.944,-1.238,-0.126
2023-05-31 13:30:00,89.229,18.331,90.372,8.879,-1.143,-0.117
2023-05-31 14:00:00,141.882,3.155,90.457,8.481,51.425,5.247
2023-05-31 14:30:00,140.397,1.221,89.802,8.779,50.595,5.163
2023-05-31 15:00:00,140.574,1.221,90.364,8.68,50.210,5.123
2023-05-31 15:30:00,140.929,1.221,90.298,8.68,50.631,5.166
2023-05-31 16:00:00,141.106,1.221,89.684,9.176,51.422,5.247
2023-05-31 16:30:00,141.401,1.221,90.072,8.879,51.329,5.238
2023-05-31 17:00:00,141.696,1.221,89.432,9.571,52.264,5.333
2023-05-31 17:30:00,141.991,1.221,89.787,9.275,52.204,5.327
2023-05-31 18:00:00,142.286,1.221,89.532,9.571,52.754,5.383
2023-05-31 18:30:00,142.523,1.221,90.276,8.978,52.247,5.331
2023-05-31 19:00:00,142.818,1.221,90.139,8.879,52.679,5.375
2023-05-31 19:30:00,142.994,1.112,91.174,8.082,51.820,5.288
2023-05-31 20:00:00,143.289,1.112,91.143,7.28,52.146,5.321
2023-05-31 20:30:00,143.526,1.112,91.403,6.268,52.123,5.319
2023-05-31 21:00:00,143.703,1.112,92.115,5.757,51.588,5.264
2023-05-31 21:30:00,143.88,1.112,92.232,5.347,51.648,5.270
2023-05-31 22:00:00,144.056,1.003,91.688,5.037,52.368,5.344
2023-05-31 22:30:00,144.175,1.112,91.85,4.934,52.325,5.339
2023-05-31 23:00:00,144.352,1.112,92.952,3.367,51.400,5.245
2023-05-31 23:30:00,144.529,1.112,92.993,2.73,51.536,5.259
2023-06-01 00:00:00,144.706,1.112,93.055,2.624,51.651,5.271
2023-06-01 00:30:00,144.824,1.112,93.208,2.303,51.616,5.267
2023-06-01 01:00:00,144.883,1.112,93.128,1.98,51.755,5.281
2023-06-01 01:30:00,145.001,1.112,93.057,1.872,51.944,5.300
2023-06-01 02:00:00,145.12,1.221,93.148,1.656,51.972,5.303
2023-06-01 02:30:00,145.238,1.112,93.239,1.439,51.999,5.306
2023-06-01 03:00:00,145.297,1.221,93.412,0.784,51.885,5.294
2023-06-01 03:30:00,145.356,1.221,93.274,0.674,52.082,5.314
2023-06-01 04:00:00,145.533,1.221,93.522,0.232,52.011,5.307
2023-06-01 04:30:00,145.592,1.221,93.161,0.343,52.431,5.350
2023-06-01 05:00:00,145.651,1.221,93.465,-0.325,52.186,5.325
2023-06-01 05:30:00,145.829,1.221,93.257,-0.549,52.572,5.364
2023-06-01 06:00:00,145.769,1.112,92.772,-0.213,52.997,5.408
2023-06-01 06:30:00,145.887,1.112,92.739,-0.213,53.148,5.423
2023-06-01 07:00:00,146.005,1.112,92.106,0.563,53.899,5.500
2023-06-01 07:30:00,146.123,1.112,91.116,1.548,55.007,5.613
2023-06-01 08:00:00,146.123,1.112,89.892,4.207,56.231,5.738
2023-06-01 08:30:00,146.123,1.112,89.924,5.037,56.199,5.735
2023-06-01 09:00:00,146.241,1.112,90.994,3.472,55.247,5.637
2023-06-01 09:30:00,146.3,1.112,89.44,6.268,56.860,5.802
2023-06-01 10:00:00,146.3,1.112,89.435,7.882,56.865,5.803
2023-06-01 10:30:00,146.418,1.112,89.657,8.481,56.761,5.792
2023-06-01 11:00:00,146.478,1.221,89.993,7.682,56.485,5.764
2023-06-01 11:30:00,146.655,1.221,89.617,8.282,57.038,5.820
2023-06-01 12:00:00,146.833,1.33,89.48,8.182,57.353,5.852
2023-06-01 12:30:00,146.892,1.33,89.125,9.373,57.767,5.895
2023-06-01 13:00:00,147.128,1.33,89.173,9.768,57.955,5.914
2023-06-01 13:30:00,147.364,1.33,89.432,8.68,57.932,5.911
2023-06-01 14:00:00,147.6,1.33,89.254,9.275,58.346,5.954
2023-06-01 14:30:00,147.777,1.33,89.38,9.077,58.397,5.959
2023-06-01 15:00:00,148.072,1.33,89.099,9.571,58.973,6.018
2023-06-01 15:30:00,148.368,1.33,89.103,9.669,59.265,6.047
2023-06-01 16:00:00,148.722,1.439,89.002,10.553,59.720,6.094
2023-06-01 16:30:00,149.018,1.439,89.038,11.528,59.980,6.120
2023-06-01 17:00:00,149.312,1.33,89.042,11.625,60.270,6.150
2023-06-01 17:30:00,149.608,1.439,89.022,12.013,60.586,6.182
2023-06-01 18:00:00,149.961,1.33,89.014,12.69,60.947,6.219
2023-06-01 18:30:00,150.197,1.33,89.215,13.654,60.982,6.223
2023-06-01 19:00:00,150.493,1.439,89.138,13.365,61.355,6.261
2023-06-01 19:30:00,150.788,1.439,89.28,12.69,61.508,6.276
2023-06-01 20:00:00,151.083,1.439,89.021,12.883,62.062,6.333
2023-06-01 20:30:00,151.32,1.439,89.322,12.013,61.998,6.326
2023-06-01 21:00:00,151.615,1.548,90.435,8.779,61.180,6.243
2023-06-01 21:30:00,151.851,1.439,90.847,7.381,61.004,6.225
2023-06-01 22:00:00,152.028,1.439,90.961,6.877,61.067,6.231
2023-06-01 22:30:00,152.264,1.439,91.284,5.757,60.980,6.222
2023-06-01 23:00:00,152.382,1.439,91.293,5.141,61.089,6.234
2023-06-01 23:30:00,152.677,1.439,91.713,4.831,60.964,6.221
2023-06-02 00:00:00,152.854,1.439,91.11,4.727,61.744,6.300
2023-06-02 00:30:00,153.031,1.33,92.013,3.998,61.018,6.226
2023-06-02 01:00:00,153.149,1.33,92.345,3.155,60.804,6.204
2023-06-02 01:30:00,153.326,1.33,92.614,2.41,60.712,6.195
2023-06-02 02:00:00,153.385,1.33,91.775,3.049,61.610,6.287
2023-06-02 02:30:00,153.503,1.33,91.874,2.195,61.629,6.289
2023-06-02 03:00:00,153.621,1.33,92.011,2.303,61.610,6.287
2023-06-02 03:30:00,153.74,1.439,92.393,1.872,61.347,6.260
2023-06-02 04:00:00,153.799,1.439,92.96,1.112,60.839,6.208
