cgp,x,y,x,y,z (GLO30),z (articDem)
1,3599,294,624802,6736153,2648.68,2654.84
2,3042,307,625491,6734821,2964.95,2953.96
3,4665,1049,623628,6736893,1655,1670.73
4,2023,1120,626391,6738014,1414.37,1434.37
5,689,556,628768,6736001,2408.21,2436.98
6,2466,422,626302,6735014,2668.52,2681.85
7,6015,1446,617693,6730196,1708.64,1718.02
8,5766,1113,616393,6726287,2993.25,2980.75
9,629,1421,627692,6738357,1163.49,1176.68
10,3194,1411,625346,6738240,1161.67,1161.4
camera,,,625534,6743143,1013.61,1012.78
pressure,,,,,971.571,968.607
