"Date Time, GMT-07:00",y,x_3d,y_3d,z
2023-06-15 15:00:10,2168,625666.5468416323,6742804.534678421,985.3723503018153
2023-06-15 16:00:10,2167,625666.4953140203,6742804.670929708,985.3169409776983
2023-06-15 17:00:10,-1,-1,-1,-1
2023-06-15 18:00:10,2158,625666.0315655123,6742805.89719129,984.8182570606441
2023-06-15 19:00:11,2149,625665.5642987882,6742807.1312454585,984.3185579121996
2023-06-15 20:00:11,2149,625665.5642987882,6742807.1312454585,984.3185579121996
2023-06-15 21:00:11,2141,625665.1199559397,6742808.292403498,983.8660140717487
2023-06-15 22:00:11,2134,625664.7311559472,6742809.308416784,983.4700382113544
2023-06-15 23:00:11,2128,625664.3978988108,6742810.179285313,983.1306303310164
2023-06-16 00:00:11,2125,625664.2312702426,6742810.614719578,982.9609263908474
2023-06-16 05:00:11,2068,625661.3588291977,6742817.944351221,979.9419770972078
2023-06-16 07:00:11,2053,625660.6482500659,6742819.842976086,979.2737407882888
2023-06-16 08:00:11,-1,-1,-1,-1
2023-06-16 09:00:11,2036,625659.840819677,6742822.025604684,978.5346316912169
2023-06-16 10:00:11,2029,625659.5083483404,6742822.924334106,978.230292651246
2023-06-16 11:00:10,2018,625658.9858933829,6742824.336623198,977.7520455884347
2023-06-16 12:00:10,2007,625658.4634384254,6742825.74891229,977.2737985256235
2023-06-16 13:00:10,1988,625657.5610162262,6742828.188320722,976.4477354171313
2023-06-16 14:00:10,1972,625656.8010817425,6742830.242559401,975.7521033257694
2023-06-16 15:00:10,1959,625656.1836349745,6742831.911628329,975.186902251538
2023-06-16 16:00:10,1947,625655.6136841117,6742833.452307338,974.6651781830167
2023-06-16 17:00:11,1927,625654.6637660073,6742836.020105689,973.7956380688145
2023-06-16 18:00:11,1907,625653.7138479027,6742838.587904037,972.9260979546118
2023-06-16 19:00:11,1887,625652.7639297983,6742841.155702387,972.0565578404098
2023-06-16 20:00:11,1865,625651.7190198833,6742843.980280571,971.1000637147872
2023-06-16 21:00:11,-1,-1,-1,-1
2023-06-16 22:00:10,1825,625649.4465907002,6742849.862989074,969.6895336821879
2023-06-16 23:00:10,1791,625647.3075629477,6742855.279289528,968.6735227067168
2023-06-17 00:00:10,1768,625645.8605735858,6742858.943257482,967.9862211644861
2023-06-17 04:00:11,1653,625637.7574980181,6742879.946368682,965.4896049861715
2023-06-17 05:00:11,1599,625633.1522340156,6742892.165403478,965.1457865470968
2023-06-17 06:00:11,-1,-1,-1,-1
2023-06-17 07:00:11,-1,-1,-1,-1
